大类,中类,小类,年,月份,基地,时间,合同号,设备/服务名称,中标供应商,数量, 合同单价（元） , 合同总价（元） ,预算金额（元）,付款方式,跟单人
,,,2024,3,碳纤维,2024/3/14,KINGFA202400314-1,维修键式气胀轴，Φ6˝*3300*3630mm,东莞市莱森精密机电有限公司,1," 3,600.00 "," 3,600.00 ",,验收后票到15天内付款,陈嘉俊
,,,2024,3,碳纤维,2024/3/15,KINGFA202400319-1,安全宣传+不锈钢宣传栏，2500mm*2400mm（包含宣传内容、宣传栏基础安装）,清远市清城区新城鼎峰广告经营部,1," 13,000.00 "," 13,000.00 ",,验收后支付货款。月结,陈嘉俊
,,,2024,3,碳纤维,2024/3/19,KFTXWCC20240319,C13后端改动,广东绿肯新材料科技有限公司,1," 49,000.00 "," 49,000.00 ",,验收合格一个月,王娜
,,,2024,3,碳纤维,2024/3/19,KINGFA202400319-2,安全防护配件,四维机械科技（广州）有限公司,1," 11,500.00 "," 11,500.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,3,碳纤维,2024/3/25,KINGFA202400325-1,CNC改造,广州鼎申机电设备有限公司,1," 36,000.00 "," 36,000.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,3,碳纤维,2024/3/25,KINGFA202400325-2,爱科裁床维修,杭州爱科科技股份有限公司,1," 1,150.00 "," 1,150.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,3,碳纤维,2024/3/25,KINGFA202400325-3,迈信驱动器维修,广东友仪技术股份有限公司,2, 900.00 ," 1,800.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,3,碳纤维,2024/3/25,KINGFA202400325-3,中西控制器维修,广东友仪技术股份有限公司,1," 2,500.00 "," 2,500.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,3,碳纤维,2024/3/25,KINGFA202400325-3,西门子触摸屏维修,广东友仪技术股份有限公司,1, 600.00 , 600.00 ,,月结，票到一个月付款,陈嘉俊
,,,2024,3,碳纤维,2024/3/26,20240326（复材）,EK24模具,广州利佰特汽车部件有限公司,1," 180,000.00 "," 180,000.00 ",,试模OK付30%，乙方加工20000件后，见全额发票支付余下70%。,王娜
,,,2024,3,碳纤维,2024/3/29, KFTXWCC20240329,C7分切机,佛山市盛图科技有限公司,1," 98,000.00 "," 98,000.00 ",,合同签订后预付合同总金额的30%作为预付款；发货前双方于乙方工厂对设备进行预验收，预验收证明不作为最终的验收依据，预验收合格付合同总金额的30%作为发货款；设备到甲方工厂安装调试验收合格后见13%增值税专用全额发票一个月内付30%验收款，合同总金额的10%为质保金，在质保期（验收合格之日起一年）届满后无息支付。,王娜
,,,2024,3,碳纤维,2024/3/29, KFTXWCC20240329-1,614车间预浸线集气罩整改,广州尚洁环保科技股份有限公司,1," 30,000.00 "," 30,000.00 ",,验收合格一个月,王娜
,,,2024,3,碳纤维,2024/3/29, KFTXWCC20240329-2,614车间废气管路新增灭火,广州尚洁环保科技股份有限公司,1," 50,000.00 "," 50,000.00 ",,验收合格一个月,王娜
,,,2024,3,碳纤维,2024/3/29, KFTXWCC20240329-3,双极板模试验模具,宁波市益普乐模塑有限公司,1," 73,450.00 "," 73,450.00 ",, ,王娜
,,,2024,4,碳纤维,2024/4/1,KINGFA202400401-1,高温硅胶辊包胶，280*1900mm,佛山市南海区里水鑫程佳胶辊厂,3," 4,200.00 "," 12,600.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,4,碳纤维,2024/4/1,KINGFA202400401-1,高温硅胶辊包胶，200*1900mm,佛山市南海区里水鑫程佳胶辊厂,1," 5,100.00 "," 5,100.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,4,碳纤维,2024/4/1,KINGFA202400401-1,胶辊包胶，110*1620mm,佛山市南海区里水鑫程佳胶辊厂,2," 1,150.00 "," 2,300.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,4,碳纤维,2024/4/1,KINGFA202400401-1,胶辊包胶，120*1620mm,佛山市南海区里水鑫程佳胶辊厂,2," 1,250.00 "," 2,500.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,4,碳纤维,2024/4/1,KINGFA202400401-1,胶辊包胶，292*1700*2490mm,佛山市南海区里水鑫程佳胶辊厂,1," 5,400.00 "," 5,400.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,4,碳纤维,2024/4/3,KINGFA202400403-1,电子据维修,佛山市顺德区一诺纵横机械制造有限公司,1," 3,900.00 "," 3,900.00 ",,款到发货,陈嘉俊
,,,2024,4,碳纤维,2024/4/9,KFTXWCC20240409,重型高精型镂铣机SA1560,广州市番禺区鼎申数控机床厂,1," 285,000.00 "," 285,000.00 ",,合同签订后预付合同总金额的30%作为预付款；发货前双方于乙方工厂对设备进行预验收，预验收证明不作为最终的验收依据，预验收合格付合同总金额的30%作为发货款；设备到甲方工厂安装调试验收合格后见13%增值税专用全额发票一个月内付30%验收款，合同总金额的10%为质保金，在质保期（验收合格之日起一年）届满后无息支付。,王娜
,,,2024,4,碳纤维,2024/4/9,KFTXWCC202400402-1,笔记本电脑,清远市博创信息科技有限公司,1," 4,250.00 "," 4,250.00 ",,月结,陈嘉俊
,,,2024,4,碳纤维,2024/4/9,KINGFA202400409-2,裁片机连杆机构改造,四维机械科技（广州）有限公司,10, 400.00 ," 4,000.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,4,碳纤维,2024/4/9,KINGFA202400409-1,维修键式气胀轴，Φ6˝*3300*3710mm,东莞市莱森精密机电有限公司,1," 3,600.00 "," 3,600.00 ",,验收后票到15天内付款,陈嘉俊
,,,2024,4,碳纤维,2024/4/12,KFTXWCC20240412,底护板模具,吉林省华阳新材料研发有限公司 ,1," 260,000.00 "," 260,000.00 ",,4/11付30%，4/25付30%，10/25付40%,王娜
,,,2024,4,碳纤维,2024/4/16,KINGFA202400416-1,C2冷冻机保养,广州高冠制冷设备有限公司,1," 9,500.00 "," 9,500.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,4,碳纤维,2024/4/19,KFTXWCC202400419-1,台式电脑，联想M450-N00,清远市博创信息科技有限公司,1," 4,400.00 "," 4,400.00 ",,月结,陈嘉俊
,,,2024,4,碳纤维,2024/4/19,KINGFA202400419-1,预浸线安全防护罩,四维机械科技（广州）有限公司,5," 1,700.00 "," 8,500.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,4,碳纤维,2024/4/19,KINGFA202400419-1,预浸线安全防护罩,四维机械科技（广州）有限公司,5, 600.00 ," 3,000.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,4,碳纤维,2024/4/25,KFTXWCC20240425,拉挤模具,吉林省华阳新材料研发有限公司 ,1," 42,000.00 "," 42,000.00 ",,4/22付30%，4/28付30%，10/28付40%,王娜
,,,2024,5,碳纤维,2024/5/1,KINGFA202400430-1,C8压机定制工装,四维机械科技（广州）有限公司,1," 10,800.00 "," 10,800.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,5,碳纤维,2024/5/1,KINGFA202400430-2,D9振动刀维修,广东瑞洲科技有限公司,1," 1,950.00 "," 1,950.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,5,碳纤维,2024/5/1,KINGFA202400430-3,堆高车维修（1424）,林德（中国）叉车有限公司广州分公司,1," 9,800.00 "," 9,800.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,5,碳纤维,2024/5/1,KINGFA202400430-4,高温硅胶辊包胶，280*1900mm,佛山市南海区里水鑫程佳胶辊厂,2," 4,200.00 "," 8,400.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,5,碳纤维,2024/5/1,KINGFA202400430-5,叉车维修,广州富强机械设备有限公司,1," 12,220.00 "," 12,220.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,5,碳纤维,2024/5/1,KINGFA202400430-6,D5/C14隔板安装，36m*4.9m,广东省石油化工建设集团有限公司,1," 20,000.00 "," 20,000.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,5,碳纤维,2024/5/1,JF202404018,年度保养合同,广州市广起起重设备有限公司,1," 45,000.00 "," 45,000.00 ",,验收后票到15天内付款,陈嘉俊
,,,2024,5,碳纤维,2024/5/11, KFTXWCC20240511,C11拉式生产项目,佛山市盛图科技有限公司,1," 700,000.00 "," 700,000.00 ",,同签订后预付合同总金额的30%作为预付款；发货前双方于乙方工厂对设备进行预验收，预验收证明不作为最终的验收依据，预验收合格付合同总金额的30%作为发货款；设备到甲方工厂安装调试验收合格后见13%增值税专用全额发票一个月内付30%验收款，合同总金额的10%为质保金，在质保期（验收合格之日起一年）届满后无息支付。,王娜
,,,2024,5,碳纤维,2024/5/15, KFTXWCC20240515（碳纤维）,高性能复合材料建设用地项目安全风险评估,中海兴发（广东）安全技术服务有限公司,1," 35,000.00 "," 35,000.00 ",,预付50%，乙方完成编制付50%。,王娜
,,,2024,5,碳纤维,2024/5/17,KFTXWCC202400517-1,笔记本电脑，联想ThinkPad L13，CPU：I5（13代）（中配），内存：16G，硬盘：512G（固态）,清远市博创信息科技有限公司,2," 5,400.00 "," 10,800.00 ",,月结,陈嘉俊
,,,2024,5,碳纤维,2024/5/17,KINGFA202400517-1,614行吊钢丝绳更换,广州市广起起重设备有限公司,1," 3,200.00 "," 3,200.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,5,碳纤维,2024/5/17,KINGFA202400517-2,定制工装,四维机械科技（广州）有限公司,1," 21,500.00 "," 21,500.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,5,碳纤维,2024/5/30,/,空调,京东,1," 7,299.00 "," 7,299.00 ",,先款后货,王娜
,,,2024,6,碳纤维,2024/6/1,20240311A,镜面辊加工表面Φ450*1700,广州市启业制辊有限公司,4," 16,875.00 "," 67,500.00 ",,款到发货,陈嘉俊
,,,2024,6,碳纤维,2024/6/3,陈嘉俊代垫,笔记本电脑,京东,1," 4,791.00 "," 4,791.00 ",,现付,陈嘉俊
,,,2024,6,碳纤维,2024/6/6,KINGFA202400606-1,A11定型辊中辊维修,广州市启业制辊有限公司,1," 12,300.00 "," 12,300.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,6,碳纤维,2024/6/6,KINGFA202400611-1,旋转接头维修H  250 k-444,深圳市亚凯斯科技有限公司,1," 17,600.00 "," 17,600.00 ",,预付100%,陈嘉俊
,,,2024,6,碳纤维,2024/6/11,KFTXWCC202400611-1,台式电脑，联想M450-N00,清远市博创信息科技有限公司,1," 4,400.00 "," 4,400.00 ",,月结,陈嘉俊
,,,2024,6,碳纤维,2024/6/11,KINGFA202400611-2,导热油泵维修NBT  32-160,上海铨宏热能设备工程有限公司,1," 15,500.00 "," 15,500.00 ",,预付100%,陈嘉俊
,,,2024,6,碳纤维,2024/6/13,KFTXWCC20240613,检具,东莞市福聚多汽车设备有限公司,1," 19,000.00 "," 19,000.00 ",,预付50%，验收合格付50%,王娜
,,,2024,6,碳纤维,2024/6/13,KFTXWCC20240613-1,蜂窝芯切断工位,四维机械科技（广州）有限公司,1," 60,000.00 "," 60,000.00 ",,安装调试验收合格见13%增值税发票一个月,王娜
,,,2024,6,碳纤维,2024/6/17,陈嘉俊代垫,台式电脑,京东,1," 7,116.90 "," 7,116.90 ",,现付,陈嘉俊
,,,2024,6,碳纤维,2024/6/18,KFTXWCC202400618-1,新制胶辊，Φ240*3200*3575,佛山市南海区里水鑫程佳胶辊厂,1," 10,300.00 "," 10,300.00 ",,月结,陈嘉俊
,,,2024,6,碳纤维,2024/6/18,KFTXWCC202400618-1,新制胶辊，Φ240*3200*3690,佛山市南海区里水鑫程佳胶辊厂,1," 10,500.00 "," 10,500.00 ",,月结,陈嘉俊
,,,2024,6,碳纤维,2024/6/18,KINGFA202400618-1,胶辊包胶，Φ280*3100,佛山市南海区里水鑫程佳胶辊厂,1," 7,000.00 "," 7,000.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,6,碳纤维,2024/6/18,KINGFA202400618-1,胶辊包胶，Φ195*1900,佛山市南海区里水鑫程佳胶辊厂,1," 4,800.00 "," 4,800.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,6,碳纤维,2024/6/18,KINGFA202400618-1,新制胶辊，Φ155*195*1900,佛山市南海区里水鑫程佳胶辊厂,1," 6,200.00 "," 6,200.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,6,碳纤维,2024/6/18,KINGFA202400618-1,胶辊包胶，Φ200*2000,佛山市南海区里水鑫程佳胶辊厂,1," 2,700.00 "," 2,700.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,6,碳纤维,2024/6/18,KINGFA202400618-1,新制胶辊，Φ190*200*2000,佛山市南海区里水鑫程佳胶辊厂,1," 4,300.00 "," 4,300.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,6,碳纤维,2024/6/18,KINGFA202400618-2,行吊维修,广州市广起起重设备有限公司,1," 16,800.00 "," 16,800.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,6,碳纤维,2024/6/18,KINGFA202400618-3,安全防护罩,四维机械科技（广州）有限公司,1," 17,500.00 "," 17,500.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,6,碳纤维,2024/6/19,KINGFA202400619-1,车间公共安全用电工程,广东省石油化工建设集团有限公司,1," 85,000.00 "," 85,000.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,6,碳纤维,2024/6/19,KINGFA202400619-2,空压机配件,广东云昌空压机有限公司,16, 580.00 ," 9,280.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,6,碳纤维,2024/6/19,KINGFA202400619-3,胶辊包胶，292*1700*2490mm,佛山市南海区里水鑫程佳胶辊厂,1," 4,500.00 "," 4,500.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,6,碳纤维,2024/6/19,KINGFA202400619-3,胶辊包胶，Φ200*2000,佛山市南海区里水鑫程佳胶辊厂,2," 2,700.00 "," 5,400.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,6,碳纤维,2024/6/19,KINGFA202400619-3,胶辊包胶，110*1620mm,佛山市南海区里水鑫程佳胶辊厂,1," 1,150.00 "," 1,150.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,6,碳纤维,2024/6/19,KINGFA202400619-3,胶辊包胶，120*1620mm,佛山市南海区里水鑫程佳胶辊厂,1," 1,250.00 "," 1,250.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,6,碳纤维,2024/6/26,KINGFA202400627-1,空调安装,清远市清城区石角镇金鑫电器维修部,1," 13,000.00 "," 13,000.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,7,碳纤维,2024/7/3,KFTXWCC202400703-1,"笔记本电脑，ThinkPad L13，CPU：I5（12代）（标配）内存：8G，硬盘：512G（固态）
无需操作系统",清远市博创信息科技有限公司,1," 5,100.00 "," 5,100.00 ",,月结,陈嘉俊
,,,2024,7,碳纤维,2024/7/3,KFTXWCC202400703-2,台式电脑，联想主机GEEKPRO，联想电脑屏幕ThinkVision 24.5英寸，鼠标键盘,翰林汇信息产业股份有限公司,1," 7,600.00 "," 7,600.00 ",,月结,陈嘉俊
,,,2024,7,碳纤维,2024/7/3,KINGFA202400703-1,PLC程序解密,深圳市佳鸿威科技有限公司,1," 2,400.00 "," 2,400.00 ",,款到发货,陈嘉俊
,,,2024,7,碳纤维,2024/7/8,KINGFA202400708-1,GA90空压机维修,广东云昌空压机有限公司,1," 23,800.00 "," 23,800.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,7,碳纤维,2024/7/8,XH2024031201,空压机年度保养,广东青昊节能科技有限公司,1," 73,400.00 "," 73,400.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,7,碳纤维,2024/7/12,KFTXWCC20240712,614车间新增实验室管路,广州尚洁环保科技股份有限公司,1," 36,800.00 "," 36,800.00 ",,安装调试验收合格见13%增值税发票一个月,王娜
,,,2024,7,碳纤维,2024/7/17,KFTXWCC202400717-1,C2切刀座,佛山市盛图科技有限公司,1," 44,500.00 "," 44,500.00 ",,月结,陈嘉俊
,,,2024,7,碳纤维,2024/7/17,KFTXWCC202400717-2,A614车间网络布线,上海湘辉电子科技有限公司,1," 29,800.00 "," 29,800.00 ",,月结,陈嘉俊
,,,2024,7,碳纤维,2024/7/17,KFTXWCC202400717-3,MX11-2模具维修,南通力威模具制造有限公司,1," 24,500.00 "," 24,500.00 ",,月结,陈嘉俊
,,,2024,7,碳纤维,2024/7/17,KINGFA202400717-1,维修油泵 KSB/ETNY40-200,无锡科联自控技术有限公司,1," 3,000.00 "," 3,000.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,7,碳纤维,2024/7/17,KINGFA202400717-2,C1冷冻机维修,广州高冠制冷设备有限公司,1," 8,800.00 "," 8,800.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,7,碳纤维,2024/7/17,KINGFA202400717-3,C9阀门定位器维修,广东友仪技术股份有限公司,3," 1,550.00 "," 4,650.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,7,碳纤维,2024/7/17,KINGFA202400717-4,维修键式气胀轴，Φ6˝*1700*1860mm,东莞市莱森精密机电有限公司,1," 2,060.00 "," 2,060.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,7,碳纤维,2024/7/17,KINGFA202400717-4,维修键式气胀轴，Φ6˝*3300*3730mm,东莞市莱森精密机电有限公司,1," 3,600.00 "," 3,600.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,7,碳纤维,2024/7/17,KINGFA202400717-4,维修键式气胀轴，Φ6˝*1700*1875mm,东莞市莱森精密机电有限公司,1," 2,060.00 "," 2,060.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,7,碳纤维,2024/7/17,KINGFA202400717-4,维修键式气胀轴，Φ3˝*2040*2355mm,东莞市莱森精密机电有限公司,1," 1,250.00 "," 1,250.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,7,碳纤维,2024/7/17,KINGFA202400717-4,维修键式气胀轴，Φ3˝*3410*37300mm,东莞市莱森精密机电有限公司,1," 2,090.00 "," 2,090.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,7,碳纤维,2024/7/17,KINGFA202400717-4,纠偏驱动器LD-803L200,东莞市莱森精密机电有限公司,1," 1,260.00 "," 1,260.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,7,碳纤维,2024/7/17,KINGFA202400717-5,车间风扇用电工程,广东省石油化工建设集团有限公司,1," 8,000.00 "," 8,000.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,7,碳纤维,2024/7/17,KINGFA202400717-6,堆高车维修（粤AH1424),清远市正德机械设备自动化科技有限公司,1," 1,190.00 "," 1,190.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,7,碳纤维,2024/7/17,KINGFA202400717-6,堆高车维修（粤RA1675),清远市正德机械设备自动化科技有限公司,1," 1,990.00 "," 1,990.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,7,碳纤维,2024/7/17,KINGFA202400717-7,安全防护罩加工件,四维机械科技（广州）有限公司,1," 19,500.00 "," 19,500.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,7,碳纤维,2024/7/17,KINGFA202400717-8,压机冷却铝方管维修,广州富强机械设备有限公司,21, 220.00 ," 4,620.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,8,碳纤维,2024/8/9,KINGFA202400809-1,导热油泵维修NBT  32-160,上海铨宏热能设备工程有限公司,1," 15,500.00 "," 15,500.00 ",,预付款,陈嘉俊
,,,2024,8,碳纤维,2024/8/9,KINGFA202400809-2,堆高车技能竞赛物料+堆高车技能竞赛物料（可口可乐易拉罐20支、绕线标杆1.8米12支、获奖证书6个、手持小风扇30个、怡宝矿泉水3箱）,清远市汇友五金建材有限公司,1," 1,719.00 "," 1,719.00 ",,月结,陈嘉俊
,,,2024,8,碳纤维,2024/8/12,KFTXWCC202400809-1,台式电脑，联想M450-N00,清远市博创信息科技有限公司,1," 4,400.00 "," 4,400.00 ",,月结,陈嘉俊
,,,2024,8,碳纤维,2024/8/12,KFTXWCC202400812-2,MX11-2底护板检测压紧治具，2283mm*1470mm*30mm,东莞市广建宽装备有限公司,1," 60,000.00 "," 60,000.00 ",,月结,陈嘉俊
,,,2024,8,碳纤维,2024/8/14,KINGFA202400814-1,CNC改造,广州鼎申机电设备有限公司,1," 6,900.00 "," 6,900.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,8,碳纤维,2024/8/14,KINGFA202400814-2,CNC改造,广州鼎申机电设备有限公司,1," 6,500.00 "," 6,500.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,8,碳纤维,2024/8/14,KINGFA202400814-2,CNC改造,广州鼎申机电设备有限公司,1," 3,000.00 "," 3,000.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,8,碳纤维,2024/8/14,KINGFA202400814-3,真空机、空压机保养,广东云昌空压机有限公司,1," 6,000.00 "," 6,000.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,8,碳纤维,2024/8/29,KINGFA202400829-1,C9自动化改造和BO5封边机加工件,四维机械科技（广州）有限公司,1," 4,600.00 "," 4,600.00 ",,月结，票到一个月付款,陈嘉俊
